ID,Name,Day,Age,Response,Gender
1,John,Fifth,23,0.45373296299551025,0
2,Billie,Fifth,22,0.25735967887773664,0
3,Robert,Fifth,20,0.4433932346537235,0
4,Don,Fifth,27,0.42359205860097654,0
5,Joseph,Fifth,21,0.5713553855245412,0
6,James,Fifth,25,0.5577922012116372,0
7,Delbert,Fifth,26,0.3864622293050664,0
8,Gary,Fifth,24,0.5153159712551302,0
9,Scott,Fifth,27,0.2608930105995283,0
10,Steve,Fifth,27,0.29787530176726096,0
11,Frank,Fifth,18,0.391164156182838,0
12,Eric,Fifth,23,0.3443803944464628,0
13,Wendell,Fifth,27,0.4718281632921879,0
14,James,Fifth,21,0.42329786553819276,0
15,Paul,Fifth,20,0.37005230002598904,0
16,Juan,Fifth,26,0.5482615795824617,0
17,Walter,Fifth,30,0.4078488401454476,0
18,Richard,Fifth,23,0.33040885620460014,0
19,Felix,Fifth,21,0.2984548110759699,0
20,Andre,Fifth,21,0.3909972498950065,0
21,Jeffrey,Fifth,26,0.3631563436461584,0
22,Dave,Fifth,21,0.5704688745841278,0
23,James,Fifth,29,0.4407569614878759,0
24,Lemuel,Fifth,27,0.38596293335978743,0
25,Tommy,Fifth,23,0.45112653223105575,0
26,Carlos,Fifth,22,0.15410928303560273,0
27,Willie,Fifth,19,0.5882946272402179,0
28,Joseph,Fifth,19,0.4247489157849507,0
29,Everette,Fifth,25,0.45523146646140916,0
30,Marvin,Fifth,28,0.47087038435588485,0
31,Javier,Fifth,30,0.4146333217905207,0
32,Henry,Fifth,27,0.31609695570870033,0
33,Danial,Fifth,19,0.264539801115214,0
34,Nathan,Fifth,28,0.5666326248666169,0
35,Ted,Fifth,29,0.5287781654016532,0
36,Terry,Fifth,29,0.36008779146029807,0
37,Steve,Fifth,28,0.5850967105206835,0
38,Thomas,Fifth,24,0.5162706106184481,0
39,Roger,Fifth,24,0.4955931497351022,0
40,Mohammed,Fifth,26,0.41962238823216436,0
41,Willie,Fifth,19,0.40660584948701456,0
42,Kirk,Fifth,20,0.4633507452412541,0
43,Michael,Fifth,20,0.36464576791707587,0
44,Michael,Fifth,24,0.40822625873812274,0
45,Eric,Fifth,20,0.3179800518993563,0
46,Clarence,Fifth,19,0.41276014968064084,0
47,Carlton,Fifth,23,0.562001710432737,0
48,Luis,Fifth,18,0.37575671519751463,0
49,John,Fifth,30,0.6060155241568055,0
50,Charles,Fifth,23,0.4446042669400221,0
51,Larry,Fifth,30,0.476775463243786,0
52,Kennith,Fifth,22,0.5923523157152484,0
53,John,Fifth,24,0.3390585493824726,0
54,David,Fifth,20,0.4781668404046945,0
55,Taylor,Fifth,20,0.492333496151051,0
56,Michael,Fifth,23,0.34266879155444324,0
57,Wesley,Fifth,21,0.3515514977803989,0
58,Jack,Fifth,20,0.3892373050444082,0
59,Drew,Fifth,22,0.3877900960755566,0
60,Gary,Fifth,20,0.42373411732156624,0
61,Robert,Fifth,26,0.6122989930008309,0
62,Charles,Fifth,29,0.6327686900361291,0
63,Lawrence,Fifth,24,0.36769426520741866,0
64,Billy,Fifth,25,0.4897967438724099,0
65,Travis,Fifth,19,0.6208327670153768,0
66,Kelly,Fifth,21,0.3287750096989917,0
67,Johnnie,Fifth,23,0.41601403953084176,0
68,Kenneth,Fifth,25,0.48914909502465487,0
69,John,Fifth,19,0.4456015577066491,0
70,Tony,Fifth,22,0.5207180043199187,0
71,Salvatore,Fifth,30,0.22485131718846757,0
72,Jack,Fifth,23,0.3594394287686675,0
73,Jose,Fifth,28,0.5363833335252903,0
74,John,Fifth,24,0.3541826308817994,0
75,Richard,Fifth,18,0.411699628897766,0
76,Alan,Fifth,24,0.4660467706949534,0
77,Edward,Fifth,30,0.34060550470610557,0
78,Kenny,Fifth,30,0.5871353488381698,0
79,Ian,Fifth,24,0.4535917248314896,0
80,Brian,Fifth,29,0.33011807668462756,0
81,Chad,Fifth,24,0.24663482374588327,0
82,Lowell,Fifth,19,0.4274773441395094,0
83,Jonathon,Fifth,24,0.25606595975845636,0
84,Chester,Fifth,25,0.46493919042049,0
85,Harold,Fifth,28,0.513422887269918,0
86,Michael,Fifth,28,0.39755884644820494,0
87,James,Fifth,23,0.6530244663048064,0
88,Charles,Fifth,18,0.1343891209496355,0
89,Arthur,Fifth,21,0.54633648215451,0
90,Robert,Fifth,21,0.4861460227694609,0
91,William,Fifth,30,0.3921417409441929,0
92,Raymond,Fifth,25,0.4480145122152221,0
93,Michael,Fifth,18,0.2895322553535547,0
94,James,Fifth,27,0.5556006321756004,0
95,James,Fifth,22,0.33298530592953224,0
96,Jayson,Fifth,30,0.5534706204383935,0
97,Don,Fifth,24,0.39111908973703835,0
98,Joseph,Fifth,29,0.47608883985035955,0
99,Paul,Fifth,22,0.4917814435596114,0
100,Roberto,Fifth,27,0.2864726835208149,0
101,Vanessa,Fifth,25,0.32240557084025245,1
102,Alice,Fifth,23,0.3873879922664489,1
103,Josephine,Fifth,27,0.3282728336658397,1
104,Annie,Fifth,28,0.4292354851015388,1
105,Veronica,Fifth,18,0.5130379751461882,1
106,Elizabeth,Fifth,23,0.6200069282960567,1
107,Marie,Fifth,29,0.5305440752698534,1
108,Barbara,Fifth,20,0.581230146764938,1
109,Donna,Fifth,29,0.5061012557099496,1
110,Shannon,Fifth,29,0.4003092993878432,1
111,Miranda,Fifth,28,0.3966579923998648,1
112,Brianna,Fifth,22,0.4044932844985302,1
113,Willie,Fifth,25,0.4219500163027606,1
114,Rachel,Fifth,21,0.46196010449935565,1
115,Maria,Fifth,21,0.38262880190792703,1
116,Barbara,Fifth,23,0.6605327215948222,1
117,Mattie,Fifth,26,0.37250587324950624,1
118,Barbara,Fifth,22,0.45841455222613636,1
119,Nicole,Fifth,22,0.48452856368709596,1
120,Kimberly,Fifth,25,0.464215401871029,1
121,Maya,Fifth,27,0.49119148321320344,1
122,Tammy,Fifth,21,0.49778661180359024,1
123,Marilyn,Fifth,24,0.2746206067171284,1
124,Karen,Fifth,26,0.34019782551435035,1
125,Sherri,Fifth,20,0.5539030801360647,1
126,Lisa,Fifth,22,0.3267431688611382,1
127,Ruth,Fifth,23,0.3979089673009449,1
128,Beatriz,Fifth,22,0.34650654217180127,1
129,Wilma,Fifth,25,0.5879885635010755,1
130,Alyssa,Fifth,30,0.3110453360265941,1
131,Samira,Fifth,24,0.4966999425640137,1
132,Danielle,Fifth,26,0.491412904918258,1
133,Rachal,Fifth,30,0.3745208278233588,1
134,Candice,Fifth,30,0.4693496343903035,1
135,Yvonne,Fifth,30,0.5183966208486301,1
136,Lorraine,Fifth,19,0.22125380850421314,1
137,Minnie,Fifth,25,0.4017895402362002,1
138,Katherine,Fifth,27,0.3111834904558713,1
139,Teresa,Fifth,24,0.4792189919803444,1
140,Suzanne,Fifth,21,0.29194342172276844,1
141,Maria,Fifth,30,0.3549492541600732,1
142,Laura,Fifth,21,0.5095189627626867,1
143,Georgette,Fifth,20,0.3185687995452637,1
144,Marcia,Fifth,19,0.4910251050280039,1
145,Susie,Fifth,21,0.3780270031378614,1
146,Deanna,Fifth,18,0.4875711143677395,1
147,Harriet,Fifth,22,0.43594402443028124,1
148,Laverne,Fifth,23,0.3811352664825599,1
149,Evelyn,Fifth,27,0.5694106941686307,1
150,Jessica,Fifth,22,0.40757243385825653,1
151,Mary,Fifth,28,0.2728677075643247,1
152,Maurine,Fifth,23,0.20588619260498486,1
153,Millicent,Fifth,21,0.38524610641214285,1
154,Twila,Fifth,22,0.34390712901976256,1
155,Kim,Fifth,27,0.3666235979455144,1
156,Elida,Fifth,27,0.28124188528000604,1
157,Robin,Fifth,21,0.4640272080065959,1
158,Katrina,Fifth,23,0.35779050163100723,1
159,Christina,Fifth,23,0.36892688462174056,1
160,Ashley,Fifth,21,0.22507669643361258,1
161,Katherine,Fifth,19,0.4042319267681077,1
162,Stella,Fifth,18,0.4436891065207518,1
163,Lillian,Fifth,29,0.527608507368262,1
164,Megan,Fifth,26,0.40422084740205466,1
165,Martha,Fifth,30,0.3591413524101543,1
166,Tamra,Fifth,22,0.19236452938490317,1
167,Barbara,Fifth,23,0.32698403622155636,1
168,Helen,Fifth,23,0.44411393579508646,1
169,Delores,Fifth,20,0.5139960240547053,1
170,Cassandra,Fifth,19,0.42676143420152535,1
171,Shawn,Fifth,20,0.5378242547602982,1
172,Diane,Fifth,23,0.4125629736011582,1
173,Lena,Fifth,26,0.5246445275778342,1
174,Renee,Fifth,29,0.486077194665446,1
175,Linda,Fifth,20,0.5951980718027695,1
176,Brooke,Fifth,21,0.3795568408245569,1
177,Angela,Fifth,24,0.2999944261889942,1
178,Bridget,Fifth,21,0.4964390907069347,1
179,Betty,Fifth,24,0.28765443889862635,1
180,Lola,Fifth,30,0.5549320942544064,1
181,Debra,Fifth,21,0.4119099845598452,1
182,Debra,Fifth,29,0.4681995090686376,1
183,Diana,Fifth,19,0.47562711490226456,1
184,Mary,Fifth,28,0.3889339115570191,1
185,Mable,Fifth,23,0.46852170434057483,1
186,Jeanne,Fifth,30,0.3453372689435743,1
187,Sharon,Fifth,26,0.4852001046690406,1
188,Lucia,Fifth,18,0.4097657078090752,1
189,Kimberly,Fifth,24,0.3905678965833977,1
190,Crystal,Fifth,19,0.27434052289694083,1
191,Esther,Fifth,25,0.4463634593916836,1
192,Della,Fifth,28,0.1970736352537894,1
193,Joy,Fifth,20,0.4042112850508673,1
194,Benita,Fifth,24,0.3406655139226564,1
195,Doris,Fifth,18,0.4074515634660152,1
196,Francisca,Fifth,27,0.260849048442554,1
197,Nia,Fifth,20,0.4311054263973579,1
198,Christina,Fifth,29,0.2313163263033352,1
199,Marta,Fifth,26,0.42494782392298514,1
200,Julia,Fifth,25,0.2804744065097556,1
