ID,Name,Day,Age,Response,Gender
1,John,First,23,0.10897646124769803,0
2,Billie,First,22,0.038128151990411085,0
3,Robert,First,20,0.09470610657553061,0
4,Don,First,27,0.05763294955454182,0
5,Joseph,First,21,-0.17539269887811798,0
6,James,First,25,-0.028602783349194333,0
7,Delbert,First,26,0.030843062854017972,0
8,Gary,First,24,0.024686720860376106,0
9,Scott,First,27,-0.09831861219062818,0
10,Steve,First,27,-0.14282220080393762,0
11,Frank,First,18,-0.014448817873279195,0
12,Eric,First,23,0.11771528270325082,0
13,Wendell,First,27,0.11174575427756667,0
14,James,First,21,0.2814516262378201,0
15,Paul,First,20,0.034195710771368765,0
16,Juan,First,26,-0.0722285882641357,0
17,Walter,First,30,-0.046102937603886,0
18,Richard,First,23,0.06643682866597922,0
19,Felix,First,21,0.0589116112546299,0
20,Andre,First,21,0.05222609553945291,0
21,Jeffrey,First,26,-0.02202696908730138,0
22,Dave,First,21,-0.005605375859106315,0
23,James,First,29,-0.013009178763003683,0
24,Lemuel,First,27,-0.11241145401820794,0
25,Tommy,First,23,0.32418689762983804,0
26,Carlos,First,22,-0.05907451376366729,0
27,Willie,First,19,-0.06228547589623609,0
28,Joseph,First,19,0.18942228042387974,0
29,Everette,First,25,0.15980703110673106,0
30,Marvin,First,28,-0.030924208119599547,0
31,Javier,First,30,0.021551906357636118,0
32,Henry,First,27,-0.10883151725633844,0
33,Danial,First,19,0.1053417842300837,0
34,Nathan,First,28,-0.17895650906830057,0
35,Ted,First,29,-0.06071792752737895,0
36,Terry,First,29,0.045849020081357696,0
37,Steve,First,28,0.1824338878631989,0
38,Thomas,First,24,-0.04827982576667503,0
39,Roger,First,24,0.059559147825473446,0
40,Mohammed,First,26,-0.08094014331772345,0
41,Willie,First,19,-0.0691148568662879,0
42,Kirk,First,20,0.05914574022000262,0
43,Michael,First,20,-0.022022254298127486,0
44,Michael,First,24,0.07193417138914365,0
45,Eric,First,20,0.05536544839013602,0
46,Clarence,First,19,-0.12805228614852646,0
47,Carlton,First,23,0.057149533566528514,0
48,Luis,First,18,-0.11454446385116518,0
49,John,First,30,0.13888615554804137,0
50,Charles,First,23,-0.14812458423672684,0
51,Larry,First,30,-0.02370466303778498,0
52,Kennith,First,22,-0.13267816075931302,0
53,John,First,24,-0.05732636987241994,0
54,David,First,20,0.013012222406338633,0
55,Taylor,First,20,0.0037723135378083987,0
56,Michael,First,23,-0.11152904530045722,0
57,Wesley,First,21,-0.14765049910397657,0
58,Jack,First,20,0.0032421121217859673,0
59,Drew,First,22,-0.016197944161304004,0
60,Gary,First,20,0.1370971918776753,0
61,Robert,First,26,0.15778176925861376,0
62,Charles,First,29,-0.01703129547062726,0
63,Lawrence,First,24,0.10135507383230624,0
64,Billy,First,25,-0.05282943731014372,0
65,Travis,First,19,0.1665841829704349,0
66,Kelly,First,21,0.14152342255967254,0
67,Johnnie,First,23,0.03939829993269143,0
68,Kenneth,First,25,0.048702155177848414,0
69,John,First,19,0.10129436143297517,0
70,Tony,First,22,0.04928507591825808,0
71,Salvatore,First,30,0.181671822039305,0
72,Jack,First,23,-0.006638061006444093,0
73,Jose,First,28,0.020006118468201998,0
74,John,First,24,0.10880510496421424,0
75,Richard,First,18,-0.028965415058133978,0
76,Alan,First,24,0.19807095792769464,0
77,Edward,First,30,-0.09816041125958858,0
78,Kenny,First,30,-0.14121243364562486,0
79,Ian,First,24,-0.09267577361215006,0
80,Brian,First,29,0.0528982869623768,0
81,Chad,First,24,-0.20611141164925267,0
82,Lowell,First,19,-0.09492193715251877,0
83,Jonathon,First,24,0.10426417987279323,0
84,Chester,First,25,0.02917845392100705,0
85,Harold,First,28,-0.10464339014509766,0
86,Michael,First,28,-0.22976186113024336,0
87,James,First,23,0.06599296225043418,0
88,Charles,First,18,-0.00770720688238659,0
89,Arthur,First,21,0.15647973857320152,0
90,Robert,First,21,-0.1008416098308173,0
91,William,First,30,-0.011471030348396286,0
92,Raymond,First,25,0.0358306313660028,0
93,Michael,First,18,-0.1573367334927374,0
94,James,First,27,-0.10881507582071125,0
95,James,First,22,0.10508456243185203,0
96,Jayson,First,30,-0.10424170887262513,0
97,Don,First,24,-0.029247041139167703,0
98,Joseph,First,29,0.155309215083431,0
99,Paul,First,22,0.07013265275096053,0
100,Roberto,First,27,0.026080687595462004,0
101,Vanessa,First,25,-0.017763560454362774,1
102,Alice,First,23,-0.001140851661521542,1
103,Josephine,First,27,-0.09051008748414019,1
104,Annie,First,28,-0.0806197374583108,1
105,Veronica,First,18,0.07520860620917572,1
106,Elizabeth,First,23,0.060764503691354756,1
107,Marie,First,29,-0.03248236859726127,1
108,Barbara,First,20,0.0805670954402633,1
109,Donna,First,29,-0.21509492079707038,1
110,Shannon,First,29,-0.11568825899678066,1
111,Miranda,First,28,0.27262273365544515,1
112,Brianna,First,22,-0.12157350002724797,1
113,Willie,First,25,-0.029383437877644643,1
114,Rachel,First,21,0.22589854969656253,1
115,Maria,First,21,-0.23326506347347103,1
116,Barbara,First,23,0.054250916242555874,1
117,Mattie,First,26,0.13571426230076428,1
118,Barbara,First,22,-0.1965747561218218,1
119,Nicole,First,22,-0.1565476051347261,1
120,Kimberly,First,25,-0.09994651609813442,1
121,Maya,First,27,0.09358297511595336,1
122,Tammy,First,21,-0.004390824850492973,1
123,Marilyn,First,24,0.032457210771900696,1
124,Karen,First,26,-0.13459263434055646,1
125,Sherri,First,20,-0.015193550828251407,1
126,Lisa,First,22,-0.11347691288648531,1
127,Ruth,First,23,0.055865984819626915,1
128,Beatriz,First,22,0.06997910592959743,1
129,Wilma,First,25,-0.04945112990449184,1
130,Alyssa,First,30,-0.07662399865590172,1
131,Samira,First,24,0.01034151377865173,1
132,Danielle,First,26,0.04229332559630411,1
133,Rachal,First,30,0.1677837456534348,1
134,Candice,First,30,-0.05871712288473457,1
135,Yvonne,First,30,0.040667927715105884,1
136,Lorraine,First,19,-0.04440857235066666,1
137,Minnie,First,25,-0.021730420116221182,1
138,Katherine,First,27,0.03037502423027079,1
139,Teresa,First,24,-0.02726928364144648,1
140,Suzanne,First,21,-0.009089649633290826,1
141,Maria,First,30,0.03463482580551039,1
142,Laura,First,21,-0.04226816547776138,1
143,Georgette,First,20,0.15897675687859592,1
144,Marcia,First,19,0.06897554414780849,1
145,Susie,First,21,0.1091095129994258,1
146,Deanna,First,18,-0.15674172844015577,1
147,Harriet,First,22,-0.02334785971245261,1
148,Laverne,First,23,0.10551696917046237,1
149,Evelyn,First,27,-0.057886042613544055,1
150,Jessica,First,22,0.08216600943648418,1
151,Mary,First,28,0.20884647980984578,1
152,Maurine,First,23,-0.24112352659559627,1
153,Millicent,First,21,-0.015946727093739968,1
154,Twila,First,22,0.0306250320842089,1
155,Kim,First,27,0.024625046774610856,1
156,Elida,First,27,0.17342848177522874,1
157,Robin,First,21,0.21903069953082382,1
158,Katrina,First,23,0.03298483022471462,1
159,Christina,First,23,0.07357397675690168,1
160,Ashley,First,21,0.04239173563270782,1
161,Katherine,First,19,-0.03775795234057512,1
162,Stella,First,18,-0.07385708993679112,1
163,Lillian,First,29,0.00790146379428482,1
164,Megan,First,26,-0.03618388871549306,1
165,Martha,First,30,0.0909534592227706,1
166,Tamra,First,22,0.1550290612700058,1
167,Barbara,First,23,-0.0037969093865728946,1
168,Helen,First,23,0.023837324461743453,1
169,Delores,First,20,0.19452822900602051,1
170,Cassandra,First,19,-0.03859146362994846,1
171,Shawn,First,20,0.02893942004208489,1
172,Diane,First,23,-0.004807480384385637,1
173,Lena,First,26,-0.11684041991234509,1
174,Renee,First,29,0.049313895573948045,1
175,Linda,First,20,-0.03467974730723032,1
176,Brooke,First,21,0.008791157544219533,1
177,Angela,First,24,-0.023278936243868825,1
178,Bridget,First,21,0.09784220620296205,1
179,Betty,First,24,0.04852421377717461,1
180,Lola,First,30,-0.14883838016728165,1
181,Debra,First,21,-0.05556686524254254,1
182,Debra,First,29,0.01691808229559538,1
183,Diana,First,19,0.015041292008131533,1
184,Mary,First,28,0.00015435690567660825,1
185,Mable,First,23,0.13725388155749396,1
186,Jeanne,First,30,0.0724776055865148,1
187,Sharon,First,26,-0.134736692561259,1
188,Lucia,First,18,0.14554371530227145,1
189,Kimberly,First,24,-0.022699486096346328,1
190,Crystal,First,19,-0.2172864602215451,1
191,Esther,First,25,0.14421628760613936,1
192,Della,First,28,-0.043263232094207564,1
193,Joy,First,20,0.13578750453237243,1
194,Benita,First,24,-0.04105369294321446,1
195,Doris,First,18,0.026836633003138967,1
196,Francisca,First,27,0.11984932990251254,1
197,Nia,First,20,-0.02537296023962914,1
198,Christina,First,29,0.12829774867260377,1
199,Marta,First,26,-0.10920587961951617,1
200,Julia,First,25,0.07251166220746179,1
