ID,Name,Day,Age,Response,Gender
1,John,Fourth,23,0.34856612838091916,0
2,Billie,Fourth,22,0.377046691834601,0
3,Robert,Fourth,20,0.2740935513422149,0
4,Don,Fourth,27,0.41566529975653754,0
5,Joseph,Fourth,21,0.5030523481793486,0
6,James,Fourth,25,0.6686813449276366,0
7,Delbert,Fourth,26,0.32226165937671875,0
8,Gary,Fourth,24,0.3916982393821837,0
9,Scott,Fourth,27,0.4201650459243951,0
10,Steve,Fourth,27,0.46766195412379336,0
11,Frank,Fourth,18,0.45898345582961153,0
12,Eric,Fourth,23,0.5479525573253385,0
13,Wendell,Fourth,27,0.3702964118645945,0
14,James,Fourth,21,0.35552427393773767,0
15,Paul,Fourth,20,0.4442014199214026,0
16,Juan,Fourth,26,0.3882999629906536,0
17,Walter,Fourth,30,0.32327223135129324,0
18,Richard,Fourth,23,0.3807334038765816,0
19,Felix,Fourth,21,0.300021601125039,0
20,Andre,Fourth,21,0.24178556581323463,0
21,Jeffrey,Fourth,26,0.3714903851225104,0
22,Dave,Fourth,21,0.41190612914430863,0
23,James,Fourth,29,0.43130600893768073,0
24,Lemuel,Fourth,27,0.34373427693833364,0
25,Tommy,Fourth,23,0.23971982401038122,0
26,Carlos,Fourth,22,0.497806755010102,0
27,Willie,Fourth,19,0.39412611375948853,0
28,Joseph,Fourth,19,0.319986738223184,0
29,Everette,Fourth,25,0.45940447673553014,0
30,Marvin,Fourth,28,0.37466522857887347,0
31,Javier,Fourth,30,0.28361624097694305,0
32,Henry,Fourth,27,0.2282030327489958,0
33,Danial,Fourth,19,0.3700762354109632,0
34,Nathan,Fourth,28,0.30766871044542515,0
35,Ted,Fourth,29,0.38120949919504077,0
36,Terry,Fourth,29,0.228549364957517,0
37,Steve,Fourth,28,0.5881994334164636,0
38,Thomas,Fourth,24,0.3856087348237665,0
39,Roger,Fourth,24,0.4426257213709829,0
40,Mohammed,Fourth,26,0.5443393058458627,0
41,Willie,Fourth,19,0.43791619951565414,0
42,Kirk,Fourth,20,0.3819867435847643,0
43,Michael,Fourth,20,0.42109534434084045,0
44,Michael,Fourth,24,0.28189379993491365,0
45,Eric,Fourth,20,0.34070465640095043,0
46,Clarence,Fourth,19,0.2763980207226272,0
47,Carlton,Fourth,23,0.5623088734650281,0
48,Luis,Fourth,18,0.31446654813259506,0
49,John,Fourth,30,0.4206397408356436,0
50,Charles,Fourth,23,0.42186817356912676,0
51,Larry,Fourth,30,0.20116435342623212,0
52,Kennith,Fourth,22,0.3788108610614584,0
53,John,Fourth,24,0.3591879104497363,0
54,David,Fourth,20,0.42387253343350634,0
55,Taylor,Fourth,20,0.3877910286193835,0
56,Michael,Fourth,23,0.14573824756388323,0
57,Wesley,Fourth,21,0.26104082671581763,0
58,Jack,Fourth,20,0.3668368751077959,0
59,Drew,Fourth,22,0.2243892795312477,0
60,Gary,Fourth,20,0.40632791512689026,0
61,Robert,Fourth,26,0.32293935462529455,0
