ID,Name,Day,Age,Response,Gender
1,John,Third,23,0.40099450001692183,0
2,Billie,Third,22,0.2651030211212087,0
3,Robert,Third,20,0.3934713155214702,0
4,Don,Third,27,0.3787219484401598,0
5,Joseph,Third,21,0.2412362638754793,0
6,James,Third,25,0.18754160281591353,0
7,Delbert,Third,26,0.17759525036805815,0
8,Gary,Third,24,0.2823216654409193,0
9,Scott,Third,27,0.2715643824984445,0
10,Steve,Third,27,0.007035479172166403,0
11,Frank,Third,18,0.24131178636553074,0
12,Eric,Third,23,0.27542227505462846,0
13,Wendell,Third,27,0.12782686943106428,0
14,James,Third,21,0.06463197427610937,0
15,Paul,Third,20,0.293886077826389,0
16,Juan,Third,26,0.367367789760011,0
17,Walter,Third,30,0.14224958214557817,0
18,Richard,Third,23,0.32214838858372324,0
19,Felix,Third,21,0.23399598430215057,0
20,Andre,Third,21,0.1392840120896406,0
21,Jeffrey,Third,26,0.23206629227793835,0
22,Dave,Third,21,0.2549411491510197,0
23,James,Third,29,0.28214891447047447,0
24,Lemuel,Third,27,0.31139237907578526,0
25,Tommy,Third,23,0.2374548887378006,0
26,Carlos,Third,22,0.05930328670685148,0
27,Willie,Third,19,0.2614913493489208,0
28,Joseph,Third,19,0.4364128270365927,0
29,Everette,Third,25,0.26885848350337566,0
30,Marvin,Third,28,0.44306506201217455,0
31,Javier,Third,30,0.29939261233472636,0
32,Henry,Third,27,0.30661705166289227,0
33,Danial,Third,19,0.4747952419634716,0
34,Nathan,Third,28,0.4521864778232023,0
35,Ted,Third,29,0.41813704687207215,0
36,Terry,Third,29,0.25589377280021325,0
37,Steve,Third,28,0.22768553405418746,0
38,Thomas,Third,24,0.29952441747563846,0
39,Roger,Third,24,0.49841611020640886,0
40,Mohammed,Third,26,0.25914601720201685,0
41,Willie,Third,19,0.2736349340787063,0
42,Kirk,Third,20,0.19531973065286667,0
43,Michael,Third,20,0.35084896207265936,0
44,Michael,Third,24,0.38676074922947157,0
45,Eric,Third,20,0.27092578662801714,0
46,Clarence,Third,19,0.01098110777362965,0
47,Carlton,Third,23,0.22676598774260986,0
48,Luis,Third,18,0.32233442970067316,0
49,John,Third,30,0.43120859365897035,0
50,Charles,Third,23,0.5686955105331662,0
51,Larry,Third,30,0.4807976934906111,0
52,Kennith,Third,22,0.23056466292325006,0
53,John,Third,24,0.17932957832978297,0
54,David,Third,20,0.365902979653449,0
55,Taylor,Third,20,0.20784711602511152,0
56,Michael,Third,23,0.5203830691599985,0
57,Wesley,Third,21,0.29417339417647476,0
58,Jack,Third,20,0.4495707486803632,0
59,Drew,Third,22,0.3513554778490964,0
60,Gary,Third,20,0.18875735935160126,0
61,Robert,Third,26,0.08055405914894032,0
62,Charles,Third,29,0.25821838621774185,0
63,Lawrence,Third,24,0.3061542830576999,0
64,Billy,Third,25,0.31737566559001446,0
65,Travis,Third,19,0.2812295411119703,0
66,Kelly,Third,21,0.2845514095642269,0
67,Johnnie,Third,23,0.2882679023777756,0
68,Kenneth,Third,25,0.4221732276492527,0
69,John,Third,19,0.2741571309929128,0
70,Tony,Third,22,0.3501923990841354,0
71,Salvatore,Third,30,0.433984295684314,0
72,Jack,Third,23,0.403261423171382,0
73,Jose,Third,28,0.2372826486959767,0
74,John,Third,24,0.33605176895219085,0
75,Richard,Third,18,0.3229951010481258,0
76,Alan,Third,24,0.3398330676915337,0
77,Edward,Third,30,0.22263673999145328,0
78,Kenny,Third,30,0.45900270104494323,0
79,Ian,Third,24,0.31425691245324106,0
80,Brian,Third,29,0.33125333092310427,0
81,Chad,Third,24,0.1426084021342257,0
82,Lowell,Third,19,0.27615080684687426,0
83,Jonathon,Third,24,0.2803759992731195,0
84,Chester,Third,25,0.2397454114410601,0
85,Harold,Third,28,0.22858181066981265,0
86,Michael,Third,28,0.4489393220007064,0
87,James,Third,23,0.19639637129859414,0
88,Charles,Third,18,0.3212921041739039,0
89,Arthur,Third,21,0.23668318624177367,0
90,Robert,Third,21,0.3577155627158181,0
91,William,Third,30,0.39472227149384365,0
92,Raymond,Third,25,0.277671078544264,0
93,Michael,Third,18,0.26389649494785766,0
94,James,Third,27,0.13507528808468738,0
95,James,Third,22,0.2650233622366795,0
96,Jayson,Third,30,0.10328605742033237,0
97,Don,Third,24,0.3897570972467946,0
98,Joseph,Third,29,0.34675495780308835,0
99,Paul,Third,22,0.12196937996826587,0
100,Roberto,Third,27,0.3206500804901801,0
101,Vanessa,Third,25,0.2982698261263043,1
102,Alice,Third,23,0.163143512516671,1
